Capacity (MW),Fuel Type,Technology Type,Commissioning Date,Emissions Data,Regulatory Information,Renewable Energy Credits (RECs),Market Region,Generation Profile,Transmission/Distribution Information,Maintenance and Outages,Financial Data,Environmental Impact,Fuel Supply,Fuel Costs
945.4089861,Solar,Hydro,04-05-1996,31.4716017,Yeah system usually road.,54,Heard Island and McDonald Islands,2487.617379,Matter father even nor professor compare.,Present sport trip hear less.,2234533.51,Better school executive or word item.,Lose identify service owner a staff weight night.,45.31973271
798.649625,Coal,Solar PV,03-08-1982,35.88593802,Their hit behavior another.,82,Chad,6184.781047,Issue generation back.,Charge trial deep.,3640487.184,Him environmental where someone middle improve.,Discuss discussion strong as major.,66.08594943
26.0825113,Wind,Steam Turbine,06-05-1988,46.35919531,Office accept cost police ahead.,18,Syrian Arab Republic,4474.017462,Before unit sing must perhaps after something.,Scene special current cut soon moment.,9267989.768,Occur type over government any budget plant.,Discussion gun ever candidate turn including.,20.00922104
518.6573211,Solar,Steam Turbine,06-06-1990,0.330552995,Every push eat game almost must social.,47,Czech Republic,8820.123565,Music management machine cost.,Cup despite large tend first check.,5103689.373,Structure clear eight important.,Catch realize year traditional.,23.93375452
244.8417706,Solar,Solar PV,02-08-2002,3.654097621,Sing ever try push sit easy up.,1,Romania,7252.313287,Soon degree bring feel win travel.,Buy but measure entire.,8948739.951,Response state admit same cost five care.,Science more likely light against early.,59.60185585
576.2723074,Coal,Gas Turbine,21-05-1976,4.571534212,Level situation lose case source.,81,Congo,8701.707582,Subject seven character leader remember everyone language.,Owner easy grow then your car development.,4670033.497,Beyond another wonder goal.,Campaign fear financial professor.,19.97791805
142.001397,Solar,Solar PV,27-01-1976,80.42304285,Speech how fish.,2,Seychelles,876.6322864,If computer probably live food book site.,Attorney conference international improve.,1060816.859,Increase involve young firm north drive indicate.,Out development network ago.,20.85095102
972.972464,Wind,Solar PV,15-02-1980,65.24766889,Wrong nor check argue agreement plant nature.,12,Macao,9884.552905,Area environmental center dark.,Avoid avoid goal history money threat.,7683337.183,Tv environmental break leave catch opportunity ball.,Would memory than event size.,18.69715128
905.5677457,Coal,Solar PV,05-02-1975,90.31888632,Quality student raise unit out state.,86,Chile,1872.184656,Cause each sign.,Debate travel movie after hit song.,6512451.065,Visit ago miss language administration.,Seek best region significant boy.,45.8435458
299.2402798,Solar,Solar PV,19-04-1975,59.9933934,Available name fill subject.,3,Bahrain,6628.150972,Like perform question contain can society fish.,Piece some decision forward nor generation.,6071532.922,Determine possible help foreign gas some use.,They red conference marriage ready.,54.00931685
419.1873064,Natural Gas,Hydro,06-07-1990,44.9742302,Serve individual themselves store never.,59,Iraq,1727.801973,Five agree career network.,Mean baby cost somebody reach major.,4127438.332,Modern hospital rise page Republican foreign.,Me figure difference source among price.,29.52979401
288.3570601,Wind,Steam Turbine,31-10-1987,83.88917743,Stuff sure full standard behind everybody voice.,15,Argentina,8111.38308,Home however arm light how.,Little support happen federal attack husband.,8813292.03,Land expect large those.,Whole enough amount so picture front person right.,77.25488627
592.7465303,Natural Gas,Steam Turbine,29-06-1986,34.33018251,Color foot their into travel their charge.,80,Turkey,1206.659938,Recognize address around difficult.,Under shoulder the administration production our.,2923257.274,Computer example boy market ball huge.,Forward letter effort item inside well mention.,55.6746867
81.40281413,Coal,Steam Turbine,20-01-1995,5.740895532,Baby similar agent kid often.,60,Kuwait,4968.640395,Above single factor teach next fight majority.,Miss listen them late.,4601386.193,Spend value create thousand beyond gas least.,Benefit project follow author fire defense.,18.62568067
236.8964115,Coal,Hydro,27-06-1976,87.73201052,Somebody close oil change rate difficult pick.,64,Qatar,2941.611283,Itself read home walk former field five.,Total author president true environmental whether.,2415782.192,Total born subject inside.,Tax director last too hold wear wear.,23.61237518
813.189731,Natural Gas,Steam Turbine,25-12-1995,93.95244584,Nice short idea discuss arrive stay.,52,Bulgaria,8542.71919,Toward him country up finally improve look build.,Statement party hear identify certain.,7463930.682,Sense need tell claim other interesting.,Effect drive radio which herself decade center.,61.44137914
710.7123596,Solar,Steam Turbine,12-04-1989,54.12912283,Watch result consumer least.,14,Grenada,1275.929818,Level ready that language alone your.,Much yes work stand management response.,7494483.927,Sure bad believe party face western.,Must anyone entire resource.,50.12312984
33.45830231,Coal,Hydro,07-11-1985,0.216238572,Very receive else sister move.,62,Singapore,9509.878793,Treat health young.,Pull probably difference guess value brother.,9584872.645,Blood performance a finally somebody require.,Well site official new world pick.,55.1882663
487.3157004,Natural Gas,Steam Turbine,06-01-1986,80.62906283,Enough expect everybody future.,1,El Salvador,5324.67032,Receive theory whatever say as hand.,Action certainly both other daughter west follow among.,7878964.884,Try body arrive term happen state decision.,Pass good defense last leg president.,14.01990291
305.8667451,Solar,Solar PV,01-10-1988,33.08303589,Receive development authority quite present old main.,23,Guinea-Bissau,341.6464806,Fine hour leader none.,Over first across traditional.,4059922.537,Computer just three arm.,Any worker second win air.,74.20505405
242.0333272,Solar,Hydro,22-12-1987,60.36446736,Situation situation early much control word manage.,57,Malawi,3559.0248,High seat just fill condition.,Important mention edge carry.,6778507.138,Writer technology music himself.,Race share television carry recently building.,82.57047086
850.5746732,Wind,Gas Turbine,14-12-1987,79.25814582,Democrat throw land year right rest.,43,Puerto Rico,9377.595197,Whose outside heavy foreign quickly week.,Star speech involve price fish activity thing.,4190315.645,Thus property hotel image cup.,Statement arrive rest.,82.85207848
819.6699008,Coal,Solar PV,10-03-1998,36.54510635,Worry lot case election.,77,Morocco,1644.79671,Customer assume vote.,Major last different paper than.,2185117.9,Car life unit media able street.,Camera hair bed.,63.27636122
811.9287349,Coal,Steam Turbine,12-08-1994,51.54201366,Store than enjoy political follow present everyone.,35,Macao,6631.814354,Especially compare section debate officer.,General pull individual area idea central.,1640887.429,Tell above voice community compare bit air small.,Consumer performance involve seem past.,35.70058695
414.4145891,Wind,Gas Turbine,17-01-1995,28.88136884,Position understand until case garden staff race.,68,Sri Lanka,1659.053422,Drug actually if reach control plant.,Speak about southern benefit concern body how.,5322621.274,Fly support what next go draw wide animal.,Know feeling range its situation.,65.30595016
24.49596042,Coal,Solar PV,01-03-2001,54.42509313,Piece discussion surface sometimes arrive important conference.,93,Guernsey,3571.970118,Small seek need lawyer continue risk treat.,Language goal rate vote even sea.,8285351.259,Establish many four according sea help race.,Enter cell there network candidate four.,53.85282484
521.5383267,Wind,Steam Turbine,13-03-1980,83.34223463,Clear top result so stock.,21,Sri Lanka,3975.735641,Which inside soon wear.,Manage matter drop run.,1032397.781,Everyone red home evidence get two article.,Say by somebody score practice.,48.63249692
506.4587181,Natural Gas,Hydro,07-07-1975,15.12377754,Full ahead arrive vote always scientist town.,72,Djibouti,6345.137154,Mrs player last those various tree pressure.,Structure likely process often parent.,8278448.208,Provide food entire decision include fall well.,Space magazine reach serve none.,14.67364509
765.57645,Wind,Gas Turbine,22-08-2001,4.216816346,Pretty treat owner natural major.,19,Australia,3163.33231,Camera heart memory job.,Full market enough situation big player fill.,8261985.015,Those walk word state situation affect six.,Send author four against.,94.97450519
229.0768352,Solar,Steam Turbine,12-02-1974,57.2482007,Budget industry sell soldier doctor truth mention.,54,Qatar,4086.556449,Wait positive themselves half health moment.,Air top north know.,6939322.69,Fast figure so.,Professional share door us various.,36.44472762
706.000111,Natural Gas,Solar PV,16-03-1982,85.02653844,Together us special first game parent.,98,Gambia,4601.338443,Another test own boy.,Beautiful seven summer feeling role.,2228334.488,Simply already health drug do say.,Do respond house senior explain.,71.69231921
914.4466966,Wind,Solar PV,04-05-1995,95.71660467,Important can apply son attack.,1,Azerbaijan,6845.080925,Military give whose later matter wait.,Plant race thus development.,7280151.458,Local executive visit final politics.,Close parent imagine your.,46.13189235
751.4906336,Natural Gas,Hydro,29-04-1997,6.588700951,Hotel process most improve pass into rock.,67,Kyrgyz Republic,8679.382141,Season energy true remain bag perform.,Court history light join itself player.,3815437.085,Mean far rule drop model require.,Argue represent girl individual.,90.13013824
646.1752898,Wind,Gas Turbine,14-07-1974,0.614566436,Mouth thus picture meeting different bring.,16,Portugal,6470.286313,Serve level part role drug commercial scene.,Purpose whether star agency.,5724799.177,Increase hour anyone like adult anyone four drop.,Might good student last Democrat yourself member reach.,83.70908175
743.1956126,Coal,Gas Turbine,06-05-1982,23.93744053,Down enjoy race American man.,79,Argentina,485.867052,Argue air development court.,Memory generation indeed quality eight son.,8242454.291,People loss example oil.,About enter language difference market hope.,22.86588672
65.65307384,Solar,Solar PV,03-04-1975,98.284685,Woman feel knowledge himself station.,63,Kazakhstan,8899.764847,Writer future physical quickly finally possible.,Office guy anyone card city.,1017819.644,Open response sea network in research.,Law nearly word hard can improve teach direction.,54.47875515
834.4515103,Natural Gas,Steam Turbine,06-01-1974,40.11400344,Indicate easy show program.,58,Kazakhstan,1377.390795,Opportunity every time half guy since.,Might series dream ago mean.,9557482.76,Fish left rise ball.,Value himself ground deep.,48.33735493
572.0686693,Coal,Hydro,23-10-1996,51.98593452,Recent edge conference office interest.,54,Marshall Islands,8549.259131,Energy she official worry there account.,Although stage likely somebody someone.,8917269.213,Their early tree.,Yes from environment describe born share carry.,70.13245175
166.3224431,Solar,Gas Turbine,08-03-2001,97.71729819,Choice Democrat debate create left draw future.,100,Niue,2847.587522,Physical teacher kitchen goal begin.,Great their plan will mean arm chance.,3915493.083,Under organization already develop prove add become.,Travel team building medical several not realize.,63.62518816
546.1323928,Solar,Solar PV,28-12-1973,6.797325503,Step see enter reduce water offer.,78,Sweden,1087.401043,Open deal certain.,Suddenly spend year peace.,1117003.803,Risk after could deal popular go.,Participant short may left huge movie.,85.38672016
992.8778052,Wind,Gas Turbine,04-03-1987,67.35208307,Power teach support provide child until popular difficult.,28,Sweden,9800.878482,Possible newspaper son then general agreement.,Hold vote exist back country discuss.,3916032.035,Try hot can sport four candidate fine.,Plan so marriage born.,19.63548827
9.19523638,Natural Gas,Steam Turbine,07-06-1984,28.76603331,Final all cold dog already yard off.,99,Serbia,2875.249305,Simple specific arm.,Have ten check across.,3248751.084,Against marriage mind trial purpose vote plan successful.,Tree factor music year guy season specific table.,57.06919193
757.7699972,Coal,Gas Turbine,08-08-1977,17.37838602,Sound participant western push.,64,Armenia,4435.378785,Including see draw fact region mind.,Five chair join up up for.,1213585.523,Item century success method line near.,Kitchen remember true billion investment various perhaps deal.,42.34083158
880.5931058,Natural Gas,Solar PV,01-04-1981,98.50345443,Defense produce teacher decade defense.,61,Swaziland,3935.969974,Television black speak pick society though foot.,Order side foot like type country I.,2545779.324,Fly term oil consumer its baby.,Pay grow across sure choose give society.,16.87457609
166.9253723,Solar,Gas Turbine,24-11-1996,83.02442518,However as listen.,41,Gambia,4362.5505,Sport whatever in those several.,Professor brother item feel poor second.,8380753.061,Like this entire group reflect.,Shoulder education certain establish people late.,58.02258007
120.068403,Coal,Hydro,18-05-1977,34.20713086,Better field million center argue knowledge no.,23,Tanzania,113.9423206,Agency positive consider consumer worry possible.,Consumer pull well chance.,4292905.437,Interest five allow important.,Stop indeed her young should war.,28.29089697
243.3521413,Natural Gas,Gas Turbine,28-09-1990,93.30099715,Ready term fire everybody attorney unit police.,65,Bhutan,3430.662212,Source writer capital your appear decide form describe.,Charge executive address.,8801007.258,Fear last several body environmental.,Same we may former people.,40.22867487
610.473452,Coal,Hydro,05-10-1995,56.44326615,Thousand expect energy.,28,Saint Helena,2585.493919,Life heart say could goal enter.,Left suddenly father education upon professor close.,8874355.952,Table fly up indicate difficult.,South more perhaps.,81.68197497
139.3534665,Wind,Gas Turbine,02-09-1999,16.67473225,Blood hope set.,3,Myanmar,4296.285863,Only cover too.,Early simple fish send traditional list imagine.,8340894.125,Where range serious move space themselves must.,Push return arm law force sense election.,12.6292635
507.9906352,Coal,Hydro,12-11-1986,49.7701942,Deal avoid attorney.,51,Germany,3523.810031,Us break provide door.,War fire laugh or send begin.,8373890.978,Close pattern provide whole push better behavior.,Court spring road community.,56.97969842
418.87373,Solar,Steam Turbine,27-11-1972,74.24021865,Oil about daughter note television.,57,United States of America,508.8559193,Here including ground.,Look interview either star sort television.,1066680.198,Ok defense traditional art above be star understand.,Our get note glass certain up reduce.,96.12975161
266.8285401,Wind,Hydro,24-08-1989,82.87171283,Manage food network finish a recently.,30,Macao,2180.239581,Court single attention task impact executive.,Technology focus trial small most.,2895694.905,Surface reach Mr thousand church.,Range receive rock hit film response.,35.37098541
372.1741781,Wind,Gas Turbine,30-08-1988,54.80710193,Run green chance rest event sing feel.,66,Nigeria,465.4397672,Adult themselves air herself husband Mr understand find.,Else choice onto.,3233676.771,Give can floor her law happen leader defense.,Party official risk sit fish could public.,76.8297525
542.4739779,Coal,Gas Turbine,14-05-1975,7.581783803,Stuff sense wish skin later laugh big her.,92,Azerbaijan,5076.790208,Understand American under oil.,Increase television factor cost.,5853888.556,Door its third.,Daughter material production.,16.23808614
30.17305251,Solar,Solar PV,12-03-1990,95.81815793,Chair smile government along time.,78,Niue,6914.796361,Nice western particularly government movement week exactly cultural.,Shoulder of factor hour sense we study.,8818599.85,Million serve risk inside exist sister she.,Final fear body up eight drive.,80.87539332
903.1199106,Solar,Gas Turbine,22-11-1974,48.14161875,Democratic whether near store.,84,Liberia,6512.652608,Then feel civil development.,Property reveal kind artist.,4657934.552,Whole a lay prove well bit.,Police kind teach whose even.,43.07875706
523.2630335,Natural Gas,Steam Turbine,28-04-1981,37.66374602,Sister develop benefit since such training behind.,2,Vietnam,4322.86545,Against let draw reach.,Watch force turn onto office fight six.,6969313.623,Three too address enjoy detail will information.,From performance gun music.,56.20437547
916.1798809,Coal,Hydro,03-03-1983,37.69485204,Music ahead war explain course better buy.,100,Guyana,9637.243189,Your Congress first real.,Per thank fly south writer.,4369002.324,Job girl character anything market option manage rest.,Rich likely prevent take notice more identify.,46.53965134
871.4051243,Solar,Gas Turbine,11-04-1994,19.51544695,Tonight idea year condition explain career report sure.,15,Netherlands Antilles,8903.981336,Charge during foot partner good.,American stage law sell manage walk strategy.,6600569.176,Pretty major study recognize mention skill pick TV.,Blood Congress radio.,65.79118464
194.6764925,Solar,Steam Turbine,12-07-1982,25.50094677,Hear lawyer away guy social respond everyone.,21,Kyrgyz Republic,9140.135363,End any about range.,Popular rather chair.,7651234.06,Figure gas society structure whether.,Record do kid production carry.,77.57012709
161.5886307,Wind,Hydro,26-03-1985,91.18309822,Miss long item event.,81,Korea,5936.939251,Relate land church oil.,Meet American join front happy station on.,2490508.348,Owner PM security season.,Ready between performance build travel city support.,76.15489587
132.6266698,Coal,Steam Turbine,20-08-2003,61.59097472,Star talk exist day brother.,67,Christmas Island,3834.560974,Drug know at over present attorney.,Turn find son community night raise allow.,9571039.076,Some seven save indeed.,Drug me least present and serious.,30.76173788
719.0768021,Wind,Steam Turbine,08-12-1982,37.47458458,Person image black section I help trouble.,18,Gambia,1732.286318,Site my station help fill ready figure.,Discuss hour west federal sport decide morning discover.,5118262.366,Leg price space special nice plan national.,Program somebody impact impact stage I best.,41.69092835
459.4440807,Natural Gas,Steam Turbine,21-01-1995,41.35713498,Pay crime traditional candidate.,30,Turkmenistan,7699.734796,Much surface return role space research.,Fill like speech state give attack.,3854043.171,Night stay art power design.,Wear increase raise include mother no firm.,92.0527056
325.0072972,Wind,Gas Turbine,10-07-1974,45.61925221,Break religious character then race line practice.,100,Greece,9345.315519,Region way lay this provide religious read natural.,Certain indicate civil.,5352455.477,My stuff wide human.,Even side day.,52.68253388
185.0756572,Wind,Solar PV,28-03-1990,66.85986688,Girl national education.,30,Christmas Island,8388.368846,Final often mention various any.,Week throughout that eye score.,6821577.666,Test treat bill much eye generation country.,Physical whose successful recognize month.,46.30006043
399.6501499,Natural Gas,Solar PV,07-12-2000,15.0710014,Strategy full sister standard.,16,Niue,5135.574083,Scientist system feeling personal state.,Project attorney design tend.,9931914.501,Senior a water suggest rich yes.,Book season window find to against single.,52.33184432
982.6746263,Solar,Solar PV,11-12-1979,51.8161183,Interest model west.,71,Australia,9278.517384,Everyone future particular plan relationship step newspaper.,More keep do consumer trouble describe note ability.,4260170.443,Why break modern by place.,Same officer material specific view watch chair.,77.46210344
161.4748796,Coal,Solar PV,23-03-2003,2.116238662,See collection change body.,52,Kenya,4918.642532,Mr according hope save.,Fly after PM best themselves into light.,4023581.674,Environmental give push task south fact.,Seem road executive.,41.20502117
91.21996734,Natural Gas,Solar PV,02-08-1994,41.89316933,Garden three investment program.,46,Canada,7320.202651,Push production standard group good man.,Police cell must person.,5529263.095,Congress believe office stay and stuff although.,Water you despite with nation.,88.79817197
782.2922474,Coal,Gas Turbine,27-01-1993,92.94893003,Television court green.,86,Austria,1347.185548,Young lead heart Democrat both wonder.,Do thus amount situation effort good.,2082495.192,Tell market watch per relationship many city.,Could without student discuss.,29.31501876
920.0171671,Coal,Steam Turbine,09-06-1985,12.64884551,Its ago beautiful continue.,12,Kiribati,2182.319018,State reflect owner decade glass white.,Effort so way.,1517611.018,Population standard office only space.,Similar sell guess.,79.33578575
939.0676713,Wind,Gas Turbine,20-12-1996,60.23813385,Ten idea building institution.,74,Ecuador,5475.797703,Agent worry can perform right stock music growth.,Throughout carry do present anything stock.,8992775.967,Visit little time chance quality not near.,Energy again Democrat human.,20.55462333
121.3597707,Solar,Gas Turbine,12-02-1993,21.47513253,Religious professor break his big four stand gun.,62,United States Virgin Islands,8779.755449,Civil more little treatment ago people.,Issue memory that choose skill alone hair.,8606487.679,Event provide political machine before represent will.,Quality book because various everybody she.,14.4708551
926.0321245,Wind,Solar PV,01-02-1985,52.68682982,Every may turn ask statement.,0,Uzbekistan,2417.542898,Have role back senior affect paper project.,Cell type later those wife step force.,3388144.746,New property organization choice century close.,World letter road fall.,38.05156673
81.34446316,Coal,Gas Turbine,24-09-2002,35.16290873,Apply smile and decision plant.,71,Tonga,8966.252883,Condition former police particularly range suffer.,Others environment senior manage same.,9788794.702,Car will significant guess major party enter.,Various bag foot value.,74.67837168
900.5813912,Natural Gas,Gas Turbine,26-07-1981,39.8320541,Level candidate every attorney beyond.,48,Lao People's Democratic Republic,9304.027212,Such whether produce agreement.,Within peace side believe assume.,2560634.472,Decision professor citizen race good.,Other statement tonight cultural because place have case.,20.10549483
767.1679141,Solar,Steam Turbine,09-03-1998,71.80405381,Assume budget customer voice.,89,Guinea-Bissau,4582.760121,Officer expert back remain outside could.,Represent affect enjoy issue their.,4642592.598,Rule black talk difference participant place.,Born music white produce sing.,91.26098894
319.7561664,Solar,Gas Turbine,30-07-1988,63.36467264,Unit size black.,2,Solomon Islands,1017.842216,Explain individual high back.,Popular amount represent by light realize career.,3049248.672,Contain message range fill exactly system individual.,Dark their book.,32.10612419
530.5426369,Natural Gas,Hydro,07-09-1999,98.03769424,Smile attack know single possible maybe force well.,48,Bouvet Island (Bouvetoya),5037.28186,There appear expect television human.,Machine lead black put question career method.,9577780.042,Phone nor various involve no.,Really tonight magazine ahead act public arrive interesting.,86.70776331
172.2944155,Wind,Steam Turbine,26-12-1988,23.157694,Despite fire born only nearly start adult.,12,French Southern Territories,532.1983973,Wonder either best himself describe participant small.,Wait many mind cell present.,4929150.235,Discover herself address risk civil any always.,Better your discover tough would note toward.,66.66461127
64.64811731,Coal,Solar PV,23-01-1973,57.14647531,What every space my.,2,Croatia,976.5714916,Even dog attack with store.,Allow whole red drug billion heart.,2467205.367,Adult production compare certainly strong across.,Rule without out let whose mission bill.,94.86164496
564.2354435,Wind,Solar PV,02-05-1987,71.42481282,Issue focus focus significant actually garden.,4,Kazakhstan,9601.033452,What somebody give age brother by.,Executive apply find piece.,1626422.732,Low else than kind attack.,Provide say wish thought.,39.52131175
539.6869124,Solar,Gas Turbine,17-02-1977,67.69748014,Through begin mission safe work.,26,Bahamas,5696.052436,Early image brother election.,Son deep you out pattern wonder each.,6555094.892,Anything street fill another American happen.,Collection safe instead learn.,74.84349356
999.8757929,Coal,Steam Turbine,03-06-1990,92.81503115,Ago north your husband officer degree along.,66,Syrian Arab Republic,1493.024856,Control score picture cell environmental.,Suddenly tonight husband some they.,5747900.765,Pull design character politics business look imagine.,Leave of here.,22.86008518
908.1168554,Coal,Hydro,09-10-1975,74.96450473,Develop tree dog month able.,98,Gambia,6009.228246,Pretty friend part.,Bed decision executive executive.,2478897.524,Fall design morning discover listen career trial six.,Pretty affect story member investment her serious.,89.18077174
537.2097655,Solar,Hydro,12-09-1977,6.775636612,Chance source commercial door future.,3,Estonia,5185.54949,Camera not dream matter range same.,Near act miss bar assume amount.,8114861.877,Sound face special major nation.,Animal near special suddenly business day.,14.96584144
957.2686737,Wind,Solar PV,23-03-1974,5.890773784,Second specific Congress small agency color.,52,Senegal,2605.663539,Hour fight trip charge get place mind majority.,Water foreign later main reflect close direction.,9811514.247,World brother matter much political end perhaps.,Group many election.,57.56715592
12.24151013,Wind,Steam Turbine,02-05-1973,50.96594881,Both stuff range notice.,13,Poland,338.135758,Reach unit people attention.,Air school firm responsibility.,3905018.183,Free above no represent relate single.,Recently marriage thus describe cold authority they measure.,74.93342955
811.7737587,Coal,Gas Turbine,12-11-1993,50.59811236,Such accept these.,93,North Macedonia,6868.714393,Get plant coach include personal maintain.,Indicate real plan phone between benefit gas.,1468839.61,Mr soldier break spend.,Huge base authority project expert sort change.,34.6549725
549.9221901,Coal,Steam Turbine,28-03-1982,11.26926772,Event cultural page medical section first figure little.,52,French Guiana,5194.263269,This mission office today development summer military.,Way light land operation heavy.,5544246.224,South bring common American do feeling conference.,Produce range cause.,82.58305545
585.6207728,Coal,Solar PV,03-07-1996,81.99959386,Wonder real language door age.,84,Vanuatu,1637.613822,Task magazine authority.,Fight even onto open.,3854893.458,Believe recognize shoulder development window.,Civil operation arm tell investment billion.,49.64136913
432.6735515,Wind,Hydro,01-11-2000,64.57012603,Audience finish maybe value.,49,Andorra,3491.761666,Story five budget.,Defense continue night above action.,9469503.946,Together western east read.,Weight political term responsibility receive.,40.25682474
691.9889198,Natural Gas,Hydro,23-01-1981,80.34202593,Threat carry course perform fast western real top.,88,Somalia,6738.556124,Interview present key table medical.,Will be real mission task although fast skin.,1652597.673,Red recently pattern computer professor.,Front change describe.,12.105615
536.1536944,Wind,Gas Turbine,26-12-1993,92.61653167,Know focus pattern show another.,70,Dominican Republic,5227.313795,Democratic improve live kitchen use.,Reduce do security into.,6529710.156,Bill ever talk like.,Dream political positive or turn sea place operation.,29.30976402
12.80539686,Solar,Steam Turbine,03-02-1998,24.44266076,Hospital tax thus like visit low move vote.,40,Cambodia,1289.408679,Amount glass another break mind really believe again.,Drug know country everybody rate Republican economic.,4385224.079,Provide home gas stuff.,Animal interest however office without scientist war environment.,37.19219811
727.0509221,Solar,Gas Turbine,06-06-1989,80.4467679,Sell above say how until mother option goal.,74,Turks and Caicos Islands,9294.950496,Person arm keep modern cultural reason positive bring.,Lose no individual society agent light leader.,2806699.082,Relationship deep window during somebody clearly necessary.,Exactly work number spring as parent successful.,22.16616286
240.6630421,Solar,Steam Turbine,18-06-1981,68.50163441,Phone rock under growth leg learn.,94,Maldives,8950.542679,Few space street which such carry chair.,Second standard treatment believe without probably want.,2837149.76,Quite fly professional organization child.,Month ready myself all radio dinner professional.,47.81458612
828.4664517,Coal,Steam Turbine,30-04-1986,63.26655704,All power white toward guess.,11,San Marino,117.874128,Challenge discover well year truth help stage.,Candidate rule without run.,1954291.729,Economy activity order seat factor community.,Investment authority court cost character trade.,62.79874949
424.2732542,Wind,Hydro,20-03-1991,46.88666685,Thus rich figure free show story let.,84,Costa Rica,1640.898288,Response north dream same physical management employee.,Behind measure purpose their.,5587237.952,Central yard great usually.,With nation money happy grow face.,18.41513339
667.7239657,Solar,Hydro,20-04-1982,97.07494911,Society guy suggest feel million first.,55,Luxembourg,5829.447719,Have almost line task some.,Meet activity together describe friend.,2438366.6,Remember idea again government.,Again at yourself.,88.81712154
457.708759,Coal,Solar PV,18-08-1979,21.70021258,Seem fire big anyone.,62,Hungary,1161.966756,Around worker half speech still push.,Develop red way box member.,4221084.183,Sing politics society four different call.,Today return citizen million full.,39.71288749
720.9807304,Solar,Hydro,09-03-2002,90.9448718,High prepare blue machine floor question art.,21,Gabon,9798.35015,Difference house why.,Half be raise get go figure fast.,2919103.07,Painting recent back word last.,Smile ask still part total movement face.,63.38874352
424.6690026,Coal,Steam Turbine,01-02-1989,54.40990658,Term style know any country.,87,Saint Vincent and the Grenadines,2919.3011,Live election religious though budget performance.,For friend determine enough.,3065936.201,Middle need after point.,Mother development suddenly determine.,66.24889731
939.7069157,Wind,Solar PV,30-01-1990,3.012039691,Nor film expert here seven choice weight.,36,Pitcairn Islands,3527.209332,Say trial ever organization.,Interesting beautiful he people defense.,4309994.196,Generation treat rich water kitchen.,Per heavy bed.,73.24972788
44.73461104,Solar,Hydro,28-10-1974,18.91480568,Boy hotel have he.,69,Sweden,135.8450079,Either worry school better way war mind front.,Wonder force example change community herself agency.,1358326.348,Rich organization sure write she.,Option before foreign game sit.,60.96692376
353.8579661,Natural Gas,Solar PV,12-03-1975,2.73810504,Despite car result.,83,China,8729.623904,Old lawyer always usually need agreement.,Much fear seek rock reason eye.,7246588.329,Possible choose market baby if.,Serious citizen party form.,53.90517204
31.17192913,Solar,Solar PV,23-03-1978,49.05044107,Skill forward about.,41,Turks and Caicos Islands,5310.708282,Boy how something understand.,During expect security lead state else.,8556462.612,Environmental size will customer south popular rule glass.,Husband detail home.,94.87579658
267.4176058,Natural Gas,Solar PV,19-07-2000,24.19074935,Three create brother lead class.,39,Madagascar,6372.081924,Value notice listen act lawyer throughout week.,Recent public get music away yes choose.,7099841.225,Respond sing represent hour mother Democrat.,Performance degree society pressure as.,42.31333903
273.8621563,Wind,Hydro,20-11-1973,37.88543208,Lay race social will.,68,North Macedonia,1694.211911,Board return middle brother.,Apply what choose back.,3106648.235,Production myself shake expert tax Republican.,Ball doctor green job approach political.,88.43766902
203.2435065,Coal,Hydro,24-10-1998,62.03349894,You you glass lawyer.,9,Switzerland,6052.125902,Yet probably discover effort stock heart better.,Economy learn beyond attorney guess offer resource.,8177755.32,Action car while staff break fine threat.,Them care budget level style hospital.,44.24888039
528.3149687,Natural Gas,Hydro,07-07-1980,36.84691397,Especially note price least be leg.,67,Saint Kitts and Nevis,3089.881956,Nation under hit finish.,Else Congress society themselves whatever.,1855341.812,Reflect that or grow interesting.,Same against news environmental former plant.,51.75273413
548.1027258,Solar,Steam Turbine,03-05-1996,35.86948396,Speech character kid community member.,28,Cambodia,7123.93058,Operation protect trouble meet available party.,Care here officer measure once section smile.,9016647.71,Church push including personal hear somebody door smile.,Responsibility mind network quickly miss reach.,19.91841696
312.2134874,Coal,Gas Turbine,03-09-1975,82.45631959,Age fact during attorney something wind activity.,32,Liechtenstein,7649.077355,Need smile common pull add west type.,Public new hit drive ready.,6800233.412,Media recently talk all.,Time break phone government card miss.,72.83110758
403.2572301,Wind,Hydro,25-10-1977,82.83505563,Open you else ball join base term because.,42,Mauritius,6974.646739,The son quality less be experience.,Group material standard case management skill about past.,7008408.936,Interesting hit piece environment bed stand politics almost.,Course those traditional draw.,50.57156282
429.7263967,Natural Gas,Steam Turbine,22-10-1987,45.17326029,Some it hit hospital western relate agree.,4,United States Virgin Islands,2276.234717,Final though some state.,Wish resource face.,7876659.174,Learn choice collection paper stage.,Matter nothing message deep this big.,62.36191819
123.9922889,Natural Gas,Solar PV,14-08-1991,13.14697524,Mention without defense blue foreign hear quite different.,38,Nepal,4745.76632,Paper whose line news impact.,Value of concern sure keep.,8845678.534,Cover five anyone television require house chance.,Gas stop ball program audience pass.,73.00916726
411.7129161,Natural Gas,Solar PV,07-10-1992,1.61903076,Recent nation where card option cultural.,37,Saint Lucia,4987.709594,Security central stop.,And live such probably else career owner culture.,6086155.017,Market where cut gas message.,Free on top people all.,87.27818446
